name,url,used_for
UEFA official match report,https://www.uefa.com/uefachampionsleague/news/02a5-20c02e59f219-15e92acdc717-1000--paris-retain-champions-league-holders-edge-arsenal-on-pena/,"Final score, timeline events, penalty failures, and player of the match."
Opta Analyst match report,https://theanalyst.com/articles/psg-vs-arsenal-champions-league-final-stats,"Shots, possession record, first-half pass fact, and shootout sequence."
Sports Illustrated match-stat summary,https://www.si.com/soccer/arsenal-extend-unwanted-champions-league-record-after-heartbreaking-final-defeat,Completed-pass comparison and Opta possession note.
